PROVIDER;DESCRIPTION;PROJECTID;LOCATION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_NAME;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_CATEGORY;REQUIREMENTS_ATTRIBUTES_OBJETIVE_ID;REQUIREMENTS_ATTRIBUTES_OBJETIVE_NAME;REQUIREMENTS_ATTRIBUTES_CHECK_SUMMARY;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME
gcp;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;inbound-entity-461511-j4;US;2025-07-01 12:41:26.937059;A.8.1;User Endpoint Devices;Information stored on, processed by or accessible via user endpoint devices should be protected.;A.8 Technological controls;A.8.1;User Endpoint Devices;Information stored on, processed by or accessible via user endpoint devices should be protected.;PASS;Bucket export-2emvipe22ql72utfqfya is not publicly accessible.;export-2emvipe22ql72utfqfya;cloudstorage_bucket_public_access;False;export-2emvipe22ql72utfqfya
gcp;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;inbound-entity-461511-j4;US;2025-07-01 12:41:26.937059;A.8.12;Data Leakage Prevention;Data leakage prevention measures should be applied to systems, networks and any other devices that process, store or transmit sensitive information.;A.8 Technological controls;A.8.12;Data Leakage Prevention;Data leakage prevention measures should be applied to systems, networks and any other devices that process, store or transmit sensitive information.;PASS;Bucket export-2emvipe22ql72utfqfya is not publicly accessible.;export-2emvipe22ql72utfqfya;cloudstorage_bucket_public_access;False;export-2emvipe22ql72utfqfya
gcp;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;inbound-entity-461511-j4;US;2025-07-01 12:41:26.937059;A.8.1;User Endpoint Devices;Information stored on, processed by or accessible via user endpoint devices should be protected.;A.8 Technological controls;A.8.1;User Endpoint Devices;Information stored on, processed by or accessible via user endpoint devices should be protected.;PASS;Bucket export-7ea6nbf3rfxh7lc7hmdq is not publicly accessible.;export-7ea6nbf3rfxh7lc7hmdq;cloudstorage_bucket_public_access;False;export-7ea6nbf3rfxh7lc7hmdq
gcp;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;inbound-entity-461511-j4;US;2025-07-01 12:41:26.937059;A.8.12;Data Leakage Prevention;Data leakage prevention measures should be applied to systems, networks and any other devices that process, store or transmit sensitive information.;A.8 Technological controls;A.8.12;Data Leakage Prevention;Data leakage prevention measures should be applied to systems, networks and any other devices that process, store or transmit sensitive information.;PASS;Bucket export-7ea6nbf3rfxh7lc7hmdq is not publicly accessible.;export-7ea6nbf3rfxh7lc7hmdq;cloudstorage_bucket_public_access;False;export-7ea6nbf3rfxh7lc7hmdq
gcp;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;inbound-entity-461511-j4;US;2025-07-01 12:41:26.937059;A.8.1;User Endpoint Devices;Information stored on, processed by or accessible via user endpoint devices should be protected.;A.8 Technological controls;A.8.1;User Endpoint Devices;Information stored on, processed by or accessible via user endpoint devices should be protected.;PASS;Bucket export-ag6yvqffmoie2rpocyha is not publicly accessible.;export-ag6yvqffmoie2rpocyha;cloudstorage_bucket_public_access;False;export-ag6yvqffmoie2rpocyha
gcp;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;inbound-entity-461511-j4;US;2025-07-01 12:41:26.937059;A.8.12;Data Leakage Prevention;Data leakage prevention measures should be applied to systems, networks and any other devices that process, store or transmit sensitive information.;A.8 Technological controls;A.8.12;Data Leakage Prevention;Data leakage prevention measures should be applied to systems, networks and any other devices that process, store or transmit sensitive information.;PASS;Bucket export-ag6yvqffmoie2rpocyha is not publicly accessible.;export-ag6yvqffmoie2rpocyha;cloudstorage_bucket_public_access;False;export-ag6yvqffmoie2rpocyha
gcp;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;inbound-entity-461511-j4;US;2025-07-01 12:41:26.937059;A.8.1;User Endpoint Devices;Information stored on, processed by or accessible via user endpoint devices should be protected.;A.8 Technological controls;A.8.1;User Endpoint Devices;Information stored on, processed by or accessible via user endpoint devices should be protected.;PASS;Bucket export-czkghfu6w6pav2frsxyq is not publicly accessible.;export-czkghfu6w6pav2frsxyq;cloudstorage_bucket_public_access;False;export-czkghfu6w6pav2frsxyq
gcp;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;inbound-entity-461511-j4;US;2025-07-01 12:41:26.937059;A.8.12;Data Leakage Prevention;Data leakage prevention measures should be applied to systems, networks and any other devices that process, store or transmit sensitive information.;A.8 Technological controls;A.8.12;Data Leakage Prevention;Data leakage prevention measures should be applied to systems, networks and any other devices that process, store or transmit sensitive information.;PASS;Bucket export-czkghfu6w6pav2frsxyq is not publicly accessible.;export-czkghfu6w6pav2frsxyq;cloudstorage_bucket_public_access;False;export-czkghfu6w6pav2frsxyq
gcp;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;inbound-entity-461511-j4;US-CENTRAL1;2025-07-01 12:41:26.937059;A.8.1;User Endpoint Devices;Information stored on, processed by or accessible via user endpoint devices should be protected.;A.8 Technological controls;A.8.1;User Endpoint Devices;Information stored on, processed by or accessible via user endpoint devices should be protected.;PASS;Bucket run-sources-inbound-entity-461511-j4-us-central1 is not publicly accessible.;run-sources-inbound-entity-461511-j4-us-central1;cloudstorage_bucket_public_access;False;run-sources-inbound-entity-461511-j4-us-central1
gcp;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;inbound-entity-461511-j4;US-CENTRAL1;2025-07-01 12:41:26.937059;A.8.12;Data Leakage Prevention;Data leakage prevention measures should be applied to systems, networks and any other devices that process, store or transmit sensitive information.;A.8 Technological controls;A.8.12;Data Leakage Prevention;Data leakage prevention measures should be applied to systems, networks and any other devices that process, store or transmit sensitive information.;PASS;Bucket run-sources-inbound-entity-461511-j4-us-central1 is not publicly accessible.;run-sources-inbound-entity-461511-j4-us-central1;cloudstorage_bucket_public_access;False;run-sources-inbound-entity-461511-j4-us-central1
