PROVIDER;DESCRIPTION;PROJECTID;LOCATION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_TITLE;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_ATTRIBUTEDESCRIPTION;REQUIREMENTS_ATTRIBUTES_ADDITIONALINFORMATION;REQUIREMENTS_ATTRIBUTES_LEVELOFRISK;STATUS;STATUSEXTENDED;RESOURCEID;RESOURCENAME;CHECKID;MUTED
gcp;Prowler ThreatScore Compliance Framework for GCP ensures that the GCP project is compliant taking into account four main pillars: Identity and Access Management, Attack Surface, Forensic Readiness and Encryption;inbound-entity-461511-j4;US;2025-07-01 12:49:44.280256;2.2.1;Ensure That Cloud Storage Bucket Is Not Anonymously or Publicly Accessible;Cloud Storage Bucket Is Not Anonymously or Publicly Accessible;2. Attack Surface;2.2 Storage;IAM policies on Cloud Storage buckets should not allow anonymous or public access to prevent unauthorized data exposure.;Granting public or anonymous access allows anyone to access the buckets contents, posing a security risk, especially if sensitive data is stored. Restricting access ensures that only authorized users can interact with the bucket, reducing the risk of data breaches.;4;PASS;Bucket export-2emvipe22ql72utfqfya is not publicly accessible.;export-2emvipe22ql72utfqfya;export-2emvipe22ql72utfqfya;cloudstorage_bucket_public_access;False
gcp;Prowler ThreatScore Compliance Framework for GCP ensures that the GCP project is compliant taking into account four main pillars: Identity and Access Management, Attack Surface, Forensic Readiness and Encryption;inbound-entity-461511-j4;US;2025-07-01 12:49:44.280256;2.2.1;Ensure That Cloud Storage Bucket Is Not Anonymously or Publicly Accessible;Cloud Storage Bucket Is Not Anonymously or Publicly Accessible;2. Attack Surface;2.2 Storage;IAM policies on Cloud Storage buckets should not allow anonymous or public access to prevent unauthorized data exposure.;Granting public or anonymous access allows anyone to access the buckets contents, posing a security risk, especially if sensitive data is stored. Restricting access ensures that only authorized users can interact with the bucket, reducing the risk of data breaches.;4;PASS;Bucket export-7ea6nbf3rfxh7lc7hmdq is not publicly accessible.;export-7ea6nbf3rfxh7lc7hmdq;export-7ea6nbf3rfxh7lc7hmdq;cloudstorage_bucket_public_access;False
gcp;Prowler ThreatScore Compliance Framework for GCP ensures that the GCP project is compliant taking into account four main pillars: Identity and Access Management, Attack Surface, Forensic Readiness and Encryption;inbound-entity-461511-j4;US;2025-07-01 12:49:44.280256;2.2.1;Ensure That Cloud Storage Bucket Is Not Anonymously or Publicly Accessible;Cloud Storage Bucket Is Not Anonymously or Publicly Accessible;2. Attack Surface;2.2 Storage;IAM policies on Cloud Storage buckets should not allow anonymous or public access to prevent unauthorized data exposure.;Granting public or anonymous access allows anyone to access the buckets contents, posing a security risk, especially if sensitive data is stored. Restricting access ensures that only authorized users can interact with the bucket, reducing the risk of data breaches.;4;PASS;Bucket export-ag6yvqffmoie2rpocyha is not publicly accessible.;export-ag6yvqffmoie2rpocyha;export-ag6yvqffmoie2rpocyha;cloudstorage_bucket_public_access;False
gcp;Prowler ThreatScore Compliance Framework for GCP ensures that the GCP project is compliant taking into account four main pillars: Identity and Access Management, Attack Surface, Forensic Readiness and Encryption;inbound-entity-461511-j4;US;2025-07-01 12:49:44.280256;2.2.1;Ensure That Cloud Storage Bucket Is Not Anonymously or Publicly Accessible;Cloud Storage Bucket Is Not Anonymously or Publicly Accessible;2. Attack Surface;2.2 Storage;IAM policies on Cloud Storage buckets should not allow anonymous or public access to prevent unauthorized data exposure.;Granting public or anonymous access allows anyone to access the buckets contents, posing a security risk, especially if sensitive data is stored. Restricting access ensures that only authorized users can interact with the bucket, reducing the risk of data breaches.;4;PASS;Bucket export-czkghfu6w6pav2frsxyq is not publicly accessible.;export-czkghfu6w6pav2frsxyq;export-czkghfu6w6pav2frsxyq;cloudstorage_bucket_public_access;False
gcp;Prowler ThreatScore Compliance Framework for GCP ensures that the GCP project is compliant taking into account four main pillars: Identity and Access Management, Attack Surface, Forensic Readiness and Encryption;inbound-entity-461511-j4;US-CENTRAL1;2025-07-01 12:49:44.280256;2.2.1;Ensure That Cloud Storage Bucket Is Not Anonymously or Publicly Accessible;Cloud Storage Bucket Is Not Anonymously or Publicly Accessible;2. Attack Surface;2.2 Storage;IAM policies on Cloud Storage buckets should not allow anonymous or public access to prevent unauthorized data exposure.;Granting public or anonymous access allows anyone to access the buckets contents, posing a security risk, especially if sensitive data is stored. Restricting access ensures that only authorized users can interact with the bucket, reducing the risk of data breaches.;4;PASS;Bucket run-sources-inbound-entity-461511-j4-us-central1 is not publicly accessible.;run-sources-inbound-entity-461511-j4-us-central1;run-sources-inbound-entity-461511-j4-us-central1;cloudstorage_bucket_public_access;False
gcp;Prowler ThreatScore Compliance Framework for GCP ensures that the GCP project is compliant taking into account four main pillars: Identity and Access Management, Attack Surface, Forensic Readiness and Encryption;inbound-entity-461511-j4;US-EAST1;2025-07-01 12:49:44.280256;2.2.1;Ensure That Cloud Storage Bucket Is Not Anonymously or Publicly Accessible;Cloud Storage Bucket Is Not Anonymously or Publicly Accessible;2. Attack Surface;2.2 Storage;IAM policies on Cloud Storage buckets should not allow anonymous or public access to prevent unauthorized data exposure.;Granting public or anonymous access allows anyone to access the buckets contents, posing a security risk, especially if sensitive data is stored. Restricting access ensures that only authorized users can interact with the bucket, reducing the risk of data breaches.;4;PASS;Bucket run-sources-inbound-entity-461511-j4-us-east1 is not publicly accessible.;run-sources-inbound-entity-461511-j4-us-east1;run-sources-inbound-entity-461511-j4-us-east1;cloudstorage_bucket_public_access;False
gcp;Prowler ThreatScore Compliance Framework for GCP ensures that the GCP project is compliant taking into account four main pillars: Identity and Access Management, Attack Surface, Forensic Readiness and Encryption;inbound-entity-461511-j4;US-EAST4;2025-07-01 12:49:44.280256;2.2.1;Ensure That Cloud Storage Bucket Is Not Anonymously or Publicly Accessible;Cloud Storage Bucket Is Not Anonymously or Publicly Accessible;2. Attack Surface;2.2 Storage;IAM policies on Cloud Storage buckets should not allow anonymous or public access to prevent unauthorized data exposure.;Granting public or anonymous access allows anyone to access the buckets contents, posing a security risk, especially if sensitive data is stored. Restricting access ensures that only authorized users can interact with the bucket, reducing the risk of data breaches.;4;PASS;Bucket run-sources-inbound-entity-461511-j4-us-east4 is not publicly accessible.;run-sources-inbound-entity-461511-j4-us-east4;run-sources-inbound-entity-461511-j4-us-east4;cloudstorage_bucket_public_access;False
gcp;Prowler ThreatScore Compliance Framework for GCP ensures that the GCP project is compliant taking into account four main pillars: Identity and Access Management, Attack Surface, Forensic Readiness and Encryption;inbound-entity-461511-j4;global;2025-07-01 12:49:44.280256;2.1.5;Ensure That RDP Access Is Restricted From the Internet;RDP Access Is Restricted From the Internet;2. Attack Surface;2.1 Network;GCP Firewall Rules control incoming (ingress) and outgoing (egress) traffic within a VPC Network. Each rule specifies traffic conditions, including ports, protocols, and source/destination IPs. These rules operate at the VPC level, cannot be shared across networks, and support only IPv4 addresses. To enhance security, unrestricted RDP access (0.0.0.0/0 on port 3389) should be avoided to prevent unauthorized remote connections.;Firewall rules regulate traffic flow between instances and external networks. Allowing unrestricted RDP access from the Internet exposes virtual machines (VMs) to unauthorized access and brute-force attacks. To mitigate risks, internet-facing access should be restricted by enforcing least privilege access, defining specific IP ranges, and implementing secure remote access solutions such as Bastion hosts or VPNs.;5;PASS;Firewall default-allow-icmp does not expose port 3389 (RDP) to the internet.;4831585100056248501;default-allow-icmp;compute_firewall_rdp_access_from_the_internet_allowed;False
gcp;Prowler ThreatScore Compliance Framework for GCP ensures that the GCP project is compliant taking into account four main pillars: Identity and Access Management, Attack Surface, Forensic Readiness and Encryption;inbound-entity-461511-j4;global;2025-07-01 12:49:44.280256;2.1.5;Ensure That RDP Access Is Restricted From the Internet;RDP Access Is Restricted From the Internet;2. Attack Surface;2.1 Network;GCP Firewall Rules control incoming (ingress) and outgoing (egress) traffic within a VPC Network. Each rule specifies traffic conditions, including ports, protocols, and source/destination IPs. These rules operate at the VPC level, cannot be shared across networks, and support only IPv4 addresses. To enhance security, unrestricted RDP access (0.0.0.0/0 on port 3389) should be avoided to prevent unauthorized remote connections.;Firewall rules regulate traffic flow between instances and external networks. Allowing unrestricted RDP access from the Internet exposes virtual machines (VMs) to unauthorized access and brute-force attacks. To mitigate risks, internet-facing access should be restricted by enforcing least privilege access, defining specific IP ranges, and implementing secure remote access solutions such as Bastion hosts or VPNs.;5;PASS;Firewall default-allow-internal does not expose port 3389 (RDP) to the internet.;7829697015417946293;default-allow-internal;compute_firewall_rdp_access_from_the_internet_allowed;False
gcp;Prowler ThreatScore Compliance Framework for GCP ensures that the GCP project is compliant taking into account four main pillars: Identity and Access Management, Attack Surface, Forensic Readiness and Encryption;inbound-entity-461511-j4;global;2025-07-01 12:49:44.280256;2.1.5;Ensure That RDP Access Is Restricted From the Internet;RDP Access Is Restricted From the Internet;2. Attack Surface;2.1 Network;GCP Firewall Rules control incoming (ingress) and outgoing (egress) traffic within a VPC Network. Each rule specifies traffic conditions, including ports, protocols, and source/destination IPs. These rules operate at the VPC level, cannot be shared across networks, and support only IPv4 addresses. To enhance security, unrestricted RDP access (0.0.0.0/0 on port 3389) should be avoided to prevent unauthorized remote connections.;Firewall rules regulate traffic flow between instances and external networks. Allowing unrestricted RDP access from the Internet exposes virtual machines (VMs) to unauthorized access and brute-force attacks. To mitigate risks, internet-facing access should be restricted by enforcing least privilege access, defining specific IP ranges, and implementing secure remote access solutions such as Bastion hosts or VPNs.;5;FAIL;Firewall default-allow-rdp does exposes port 3389 (RDP) to the internet.;4037445621256044725;default-allow-rdp;compute_firewall_rdp_access_from_the_internet_allowed;False
